unique_id,building,floor,room,sensor_type,file_path
29,POLOA,4,422,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\422\pir.csv
30,POLOA,4,422,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\422\temperature.csv
31,POLOA,4,423,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\423\co2.csv
32,POLOA,4,423,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\423\humidity.csv
33,POLOA,4,423,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\423\light.csv
34,POLOA,4,423,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\423\pir.csv
35,POLOA,4,423,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\423\temperature.csv
36,POLOA,4,424,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\424\co2.csv
37,POLOA,4,424,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\424\humidity.csv
38,POLOA,4,424,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\424\light.csv
39,POLOA,4,424,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\424\pir.csv
40,POLOA,4,424,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\424\temperature.csv
41,POLOA,4,442,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\442\co2.csv
42,POLOA,4,442,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\442\humidity.csv
43,POLOA,4,442,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\442\light.csv
44,POLOA,4,442,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\442\pir.csv
45,POLOA,4,442,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\442\temperature.csv
46,POLOA,4,446,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\446\co2.csv
47,POLOA,4,446,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\446\humidity.csv
48,POLOA,4,446,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\446\light.csv
49,POLOA,4,446,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\446\pir.csv
50,POLOA,4,446,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\446\temperature.csv
51,POLOA,4,448,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\448\co2.csv
52,POLOA,4,448,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\448\humidity.csv
53,POLOA,4,448,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\448\light.csv
54,POLOA,4,448,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\448\pir.csv
55,POLOA,4,448,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\448\temperature.csv
56,POLOA,4,452,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\452\co2.csv
57,POLOA,4,452,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\452\humidity.csv
58,POLOA,4,452,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\452\light.csv
59,POLOA,4,452,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\452\pir.csv
60,POLOA,4,452,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\452\temperature.csv
61,POLOA,4,454,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\454\co2.csv
62,POLOA,4,454,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\454\humidity.csv
63,POLOA,4,454,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\454\light.csv
64,POLOA,4,454,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\454\pir.csv
65,POLOA,4,454,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\454\temperature.csv
66,POLOA,4,456,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\456\co2.csv
67,POLOA,4,456,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\456\humidity.csv
68,POLOA,4,456,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\456\light.csv
69,POLOA,4,456,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\456\pir.csv
70,POLOA,4,456,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\456\temperature.csv
71,POLOA,4,458,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\458\co2.csv
72,POLOA,4,458,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\458\humidity.csv
73,POLOA,4,458,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\458\light.csv
74,POLOA,4,458,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\458\pir.csv
75,POLOA,4,458,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\458\temperature.csv
76,POLOA,4,462,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\462\co2.csv
77,POLOA,4,462,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\462\humidity.csv
78,POLOA,4,462,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\462\light.csv
79,POLOA,4,462,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\462\pir.csv
80,POLOA,4,462,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\462\temperature.csv
81,POLOA,5,510,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\510\co2.csv
82,POLOA,5,510,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\510\humidity.csv
83,POLOA,5,510,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\510\light.csv
84,POLOA,5,510,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\510\pir.csv
85,POLOA,5,510,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\510\temperature.csv
86,POLOA,5,511,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\511\co2.csv
87,POLOA,5,511,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\511\humidity.csv
88,POLOA,5,511,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\511\light.csv
89,POLOA,5,511,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\511\pir.csv
90,POLOA,5,511,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\511\temperature.csv
91,POLOA,5,513,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\513\co2.csv
92,POLOA,5,513,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\513\humidity.csv
93,POLOA,5,513,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\513\light.csv
94,POLOA,5,513,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\513\pir.csv
95,POLOA,5,513,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\513\temperature.csv
96,POLOA,5,552,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\552\co2.csv
97,POLOA,5,552,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\552\humidity.csv
98,POLOA,5,552,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\552\light.csv
99,POLOA,5,552,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\552\pir.csv
100,POLOA,5,552,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\552\temperature.csv
101,POLOA,5,554,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\554\co2.csv
102,POLOA,5,554,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\554\humidity.csv
103,POLOA,5,554,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\554\light.csv
104,POLOA,5,554,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\554\pir.csv
105,POLOA,5,554,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\554\temperature.csv
106,POLOA,5,556,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\556\co2.csv
107,POLOA,5,556,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\556\humidity.csv
108,POLOA,5,556,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\556\light.csv
109,POLOA,5,556,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\556\pir.csv
110,POLOA,5,556,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\556\temperature.csv
111,POLOA,5,558,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\5\558\co2.csv
